MOTIF V_DR1_Q3 PPAR,_HNF-4,_COUP,_RAR
MOTIF V_PPARDR1_Q2 PPAR_direct_repeat_1
MOTIF V_HNF4DR1_Q3 HNF4_direct_repeat_1
MOTIF V_COUPDR1_Q6 COUP_direct_repeat_1
MOTIF V_LXRDR4_Q3 LXR_direct_repeat_4
MOTIF V_FXRIR1_Q6 FXR_inverted_repeat_1
MOTIF V_AML_Q6 AML
MOTIF V_CEBP_Q3 C/EBP
MOTIF V_ETS_Q4 Ets
MOTIF V_IRF_Q6 IRF
MOTIF V_MYB_Q3 c-MYB
MOTIF V_NFKB_Q6_01 NF-kappaB
MOTIF V_NFY_Q6_01 NF-Y
MOTIF V_SREBP_Q3 SREBP
MOTIF V_STAT_Q6 STAT
MOTIF V_AHR_Q5 AhR
MOTIF V_GATA_Q6 GATA
MOTIF V_HNF1_Q6 HNF-1
MOTIF V_HNF3_Q6 HNF3
MOTIF V_SMAD_Q6 SMAD
MOTIF V_YY1_Q6 YY1
MOTIF V_TTF1_Q6 TTF-1_(Nkx2-1)
MOTIF V_OCT_Q6 Octamer
MOTIF V_USF_Q6_01 USF
MOTIF V_HIF1_Q3 HIF1
MOTIF V_MYC_Q2 Myc
MOTIF V_AP2_Q3 AP-2
MOTIF V_CREB_Q3 CREB
MOTIF V_PIT1_Q6 Pit-1
MOTIF V_E2F_Q2 E2F
MOTIF V_E2A_Q2 E2A
MOTIF V_LEF1_Q2 TCF-7_related
MOTIF V_NF1_Q6_01 NF-1
MOTIF V_EGR_Q6 Egr
MOTIF V_PAX_Q6 Pax
MOTIF V_FOX_Q2 FOX_factors
MOTIF V_SRF_Q4 SRF
MOTIF V_NRF2_Q4 Nrf-2
MOTIF V_CEBP_Q2_01 C/EBP
MOTIF V_MYB_Q5_01 MYB
MOTIF V_AP2_Q6_01 AP-2
MOTIF V_CREB_Q2_01 CREB
MOTIF V_CREB_Q4_01 CREB
MOTIF V_E2F_Q3_01 E2F
MOTIF V_E2F_Q4_01 E2F
MOTIF V_E2F_Q6_01 E2F
MOTIF V_GR_Q6_01 GR
MOTIF V_SRF_Q5_01 SRF
MOTIF V_AP1_Q2_01 AP-1
MOTIF V_AP1_Q6_01 AP-1
MOTIF V_AP1_Q4_01 AP-1
MOTIF V_AP4_Q6_01 AP-4
MOTIF V_MYOD_Q6_01 MyoD
MOTIF V_OCT1_Q5_01 Oct-1
MOTIF V_SP1_Q6_01 Sp1
MOTIF V_SP1_Q4_01 Sp1
MOTIF V_SP1_Q2_01 Sp1
MOTIF V_NFAT_Q4_01 NFAT
MOTIF V_E2F1_Q3_01 E2F-1
MOTIF V_E2F_Q4_02 E2F
MOTIF V_E2F1_Q6_01 E2F-1
MOTIF V_MEF2_Q6_01 MEF-2
MOTIF V_CP2_02 CP2/LBP-1c/LSF
MOTIF V_AR_02 AR
MOTIF V_PR_01 PR
MOTIF V_GR_01 GR
MOTIF V_AR_03 AR
MOTIF V_PR_02 PR
MOTIF V_ER_Q6_02 ER
MOTIF V_PR_Q2 PR,_GR
MOTIF V_VDR_Q6 VDR
MOTIF V_AR_Q6 AR
MOTIF V_T3R_Q6 T3R
MOTIF V_PXR_Q2 PXR,_CAR,_LXR,_FXR
